company_name,industry,state,employee_count,job_signal,days_since_posted,website,description,rule_score,tfidf_similarity,tfidf_bonus,score,cluster_id,cluster_label,tier,outreach_angle
OppFi,Fintech Lending,IL,420,VP of Collections,3,oppfi.com,Consumer lending platform underbanked personal loans debt recovery charge-off FDCPA,100,0.1031,2.06,100.0,3,Enterprise Collections Scalers,A,Hiring senior collections leadership at OppFi — pitch replacing that search with Callbook AI
LoanCore Capital,Consumer Lending,TX,180,Collections Manager,5,loancore.com,Personal loan originator delinquency management charge-off right party contact,90,0.264,5.28,95.3,0,Fast-Moving Fintechs,A,Scaling collections ops at LoanCore Capital — pitch: Callbook automates what the new manager would own
Upstart Network,Fintech Lending,CA,1200,Head of Debt Recovery,8,upstart.com,AI lending platform personal loans charge-off collections strategy FDCPA compliance,86,0.1481,2.96,89.0,3,Enterprise Collections Scalers,A,Hiring senior collections leadership at Upstart Network — pitch replacing that search with Callbook AI
Avant Credit,Consumer Finance,IL,530,Collections Analyst x3,2,avant.com,Online personal loans middle-income borrowers accounts receivable recovery promise to pay,80,0.1242,2.48,82.5,1,Emerging Lenders,A,"Active collections growth at Avant Credit — pitch: AI recovery at scale, compliant and fast"
GreenSky,Home Improvement Lending,GA,800,Loan Servicing Manager,11,greensky.com,Point-of-sale financing loan servicing default management debt resolution,53,0.1777,3.55,56.6,2,Peripheral Finance,B,Scaling collections ops at GreenSky — pitch: Callbook automates what the new manager would own
Springleaf Financial,Consumer Finance,IN,2100,Director of Collections,6,springleaf.com,Personal loans consumer lending collections FDCPA compliance borrower outreach,86,0.1537,3.07,89.1,3,Enterprise Collections Scalers,A,Hiring senior collections leadership at Springleaf Financial — pitch replacing that search with Callbook AI
LendingPoint,Fintech Lending,GA,310,Collections Team Lead,4,lendingpoint.com,Near-prime personal lending right party contact promise to pay delinquency,90,0.1639,3.28,93.3,0,Fast-Moving Fintechs,A,Scaling collections ops at LendingPoint — pitch: Callbook automates what the new manager would own
Navient,Student Loan Servicing,DE,7200,VP Borrower Engagement,14,navient.com,Loan management servicing borrower outreach digital collections omnichannel call center,66,0.261,5.22,71.2,2,Peripheral Finance,B,Hiring senior collections leadership at Navient — pitch replacing that search with Callbook AI
Marlin Business Services,Equipment Financing,NJ,340,Collections Specialist x2,7,marlinfinance.com,Equipment business financing collections specialist accounts receivable recovery,69,0.0671,1.34,70.3,1,Emerging Lenders,B,"Active collections growth at Marlin Business Services — pitch: AI recovery at scale, compliant and fast"
PeerStreet,Real Estate Lending,CA,120,Loan Workout Officer,9,peerstreet.com,Real estate debt investments loan workout recovery default management,79,0.0949,1.9,80.9,1,Emerging Lenders,A,Lean 120-person team at PeerStreet — pitch: Callbook does the work of 3–5 collectors
SoFi Technologies,Fintech Lending,CA,3100,Collections Operations Manager,12,sofi.com,Online personal finance lending collections operations manager digital collections,63,0.0765,1.53,64.5,2,Peripheral Finance,B,Scaling collections ops at SoFi Technologies — pitch: Callbook automates what the new manager would own
Oportun Financial,Consumer Lending,CA,3400,Director of Loan Servicing,5,oportun.com,Affordable credit immigrants loan servicing collections director charge-off reduction,80,0.1599,3.2,83.2,3,Enterprise Collections Scalers,A,Hiring senior collections leadership at Oportun Financial — pitch replacing that search with Callbook AI
Prosper Marketplace,P2P Lending,CA,430,Debt Recovery Specialist x4,3,prosper.com,Peer to peer personal loans debt recovery delinquency charge-off accounts receivable,80,0.0957,1.91,81.9,1,Emerging Lenders,A,"Active collections growth at Prosper Marketplace — pitch: AI recovery at scale, compliant and fast"
Figure Technologies,Fintech Lending,CA,560,Head of Collections Strategy,1,figure.com,Blockchain home equity loans collections strategy AI automation digital collections vendor,100,0.1581,3.16,100.0,3,Enterprise Collections Scalers,A,Hiring senior collections leadership at Figure Technologies — pitch replacing that search with Callbook AI
CAN Capital,Small Business Lending,NY,290,Collections Manager,8,cancapital.com,SMB working capital loans collections manager recovery delinquency promise to pay,79,0.1137,2.27,81.3,1,Emerging Lenders,A,Scaling collections ops at CAN Capital — pitch: Callbook automates what the new manager would own
